2022-05-17 11:05:288 INFO  BuildYourOwnComputerPage :47 - build yout own computer[[ChromeDriver: chrome on WINDOWS (78c3df503f78f21e7ce879c14ba0f6c3)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/h2[1]/a[1]]
2022-05-17 11:05:520 INFO  BuildYourOwnComputerPage :52 - procecces drop down menu[[ChromeDriver: chrome on WINDOWS (78c3df503f78f21e7ce879c14ba0f6c3)] -> xpath: //select[@id='product_attribute_1']]
2022-05-17 11:05:594 INFO  BuildYourOwnComputerPage :57 - ramradio button[[ChromeDriver: chrome on WINDOWS (78c3df503f78f21e7ce879c14ba0f6c3)] -> xpath: //select[@id='product_attribute_2']]
2022-05-17 11:05:699 INFO  BuildYourOwnComputerPage :62 - click on hdd button[[ChromeDriver: chrome on WINDOWS (78c3df503f78f21e7ce879c14ba0f6c3)] -> xpath: //input[@id='product_attribute_3_6']]
2022-05-17 11:05:781 INFO  BuildYourOwnComputerPage :67 - click on os button[[ChromeDriver: chrome on WINDOWS (78c3df503f78f21e7ce879c14ba0f6c3)] -> xpath: //input[@id='product_attribute_4_9']]
2022-05-17 11:05:856 INFO  BuildYourOwnComputerPage :72 - click on software option[[ChromeDriver: chrome on WINDOWS (78c3df503f78f21e7ce879c14ba0f6c3)] -> xpath: //input[@id='product_attribute_5_10']]
2022-05-17 11:05:912 INFO  BuildYourOwnComputerPage :77 - add to cart[[ChromeDriver: chrome on WINDOWS (78c3df503f78f21e7ce879c14ba0f6c3)] -> xpath: //button[@id='add-to-cart-button-1']]
2022-05-17 11:05:935 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 11:05:547 INFO  HomePage :49 - click on computer link[[ChromeDriver: chrome on WINDOWS (049a44cbde39f1eaabe8e8db9bed4734)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2022-05-17 11:05:51 INFO  ComputerPage :37 - click on desktop teb[[ChromeDriver: chrome on WINDOWS (049a44cbde39f1eaabe8e8db9bed4734)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/h2[1]/a[1]]
2022-05-17 11:05:773 INFO  BuildYourOwnComputerPage :47 - build yout own computer[[ChromeDriver: chrome on WINDOWS (049a44cbde39f1eaabe8e8db9bed4734)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/h2[1]/a[1]]
2022-05-17 11:05:893 INFO  BuildYourOwnComputerPage :52 - procecces drop down menu[[ChromeDriver: chrome on WINDOWS (049a44cbde39f1eaabe8e8db9bed4734)] -> xpath: //select[@id='product_attribute_1']]
2022-05-17 11:05:973 INFO  BuildYourOwnComputerPage :57 - ramradio button[[ChromeDriver: chrome on WINDOWS (049a44cbde39f1eaabe8e8db9bed4734)] -> xpath: //select[@id='product_attribute_2']]
2022-05-17 11:05:48 INFO  BuildYourOwnComputerPage :62 - click on hdd button[[ChromeDriver: chrome on WINDOWS (049a44cbde39f1eaabe8e8db9bed4734)] -> xpath: //input[@id='product_attribute_3_6']]
